x,y,z,weight
2.000,2.000,0.000,0.905
2.000,10.000,-192.000,1.489
2.889,2.000,8.691,0.235
2.889,10.000,-183.309,1.377
3.778,2.000,20.543,1.495
3.778,10.000,-171.457,1.867
4.667,2.000,35.556,0.383
4.667,10.000,-156.444,0.123
5.556,2.000,53.728,0.321
5.556,10.000,-138.272,1.337
6.444,2.000,75.062,0.189
6.444,10.000,-116.938,0.459
7.333,2.000,99.556,0.753
7.333,10.000,-92.444,1.771
8.222,2.000,127.210,0.296
8.222,10.000,-64.790,0.784
9.111,2.000,158.025,1.007
9.111,10.000,-33.975,0.209
10.000,2.000,192.000,0.814
10.000,10.000,0.000,0.674
